Status,Genres,Favorites,Popularity,Score,Chapters,Volumes,Ranked,link,Members,Authors,Serialization,Type,Published,name
 Finished,"['Comedy', 'Romance', 'School', 'Slice of Life']", 1, #20512," 7.75, "," 22
	"," 5
	", #28072,http://myanimelist.net/manga/54653/1_x_10_Fujimiya_Tokiko_wa_Natsukanai, 57,"['Szki, Daiske', 'Panda']","
		None", Novel," Sep  19, 2009 to Feb  19, 2011",1 x 10 Fujimiya Tokiko wa Natsukanai 
 Finished,"
	  ", 1, #21452," 5.00, "," 3
	"," 1
	", #34366,http://myanimelist.net/manga/14524/1_2_3_GO!!, 50,"['Fjiomi, Karen']",Ichibansuki, Manga," Sep  19, 1995 to Jul  24, 1996","1, 2, 3 GO!! "
 Finished,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Harem', 'Seinen']", 0, #18084," 5.67, "," 25
	"," 5
	", #27439,http://myanimelist.net/manga/58137/1+2=Paradise, 83,"['Kamimra, Smiko']",Shounen Magazine (Monthly), Manga, 1988 to 1990,1+2=Paradise 
 Finished,"['Comedy', 'Romance', 'Sports', 'Seinen']", 16, #4945," 7.45, "," 37
	"," 4
	", #4553,http://myanimelist.net/manga/844/1_Pound_no_Fukuin," 1,001","['Takahashi, Rmiko']",Young Sunday (Weekly), Manga," Jul  24, 1987 to Dec  21, 2006",1 Pound no Fukuin 
 Finished,"['Fantasy', 'Shonen', 'Sper Power']", 0, #21511," 9.00, "," 11
	"," 2
	", #27737,http://myanimelist.net/manga/56473/1-gatsu_no_Pluvi%C3%B4se, 49,"['Hoshikz, Nanago']",Super Dash & Go!, Manga," Oct  25, 2011 to Aug  10, 2013",1-gatsu no Pluviôse 
 Finished,"
	  ", 0, #33682," 0.00, "," Unknown
	"," 3
	", #18054,http://myanimelist.net/manga/90102/1-2_Fan_Club, 9,"['Krobchi, Kashiko']",Comic Rex, Manga," Sep  27, 2013 to Mar  27, 2015",1-2 Fan Club 
 Finished,"['School', 'Shojo', 'Spernatral']", 2, #18400," 5.30, "," 6
	"," 1
	", #35885,http://myanimelist.net/manga/4826/1+1=0, 80,"['Kwata, Noriko']",Bessatsu Hana to Yume, Manga," Jan  8, 1999 to Nov  8, 1999",1+1=0 
 Finished,"
	  ", 2, #3337," 7.27, "," 6
	"," 1
	", #6557,http://myanimelist.net/manga/21227/1-en_no_Otoko," 1,489","['Monden, Akiko']",Hanaoto DX, Manga, 2009 to 2010,1-en no Otoko 
 Finished,"['Romance', 'Shojo', 'Gender Bender']", 9, #2663," 7.09, "," 6
	"," 1
	", #9029,http://myanimelist.net/manga/31987/1_2_L%E2%99%A1VE!," 1,885",['Kayor'],Sho-Comi, Manga," Jul  20, 2010 to Jan  6, 2011",1/2 L♡VE! 
 Finished,"['Comedy', 'School']", 0, #10874," 7.22, "," 1
	"," Unknown
	", #7197,http://myanimelist.net/manga/47637/1-nen_C-gumi_Yoshida_Kakari, 304,"['Sakrai, Shiori']",Comic ZERO-SUM, One-shot," Jan  28, 2011",1-nen C-gumi Yoshida Kakari 
